alpha,alpha_prime,beta,T,error_alpha,error_beta,GoF_alpha,GoF_beta
0.0006474859110381443,0.0006660732292570023,0.25479827892429585,69,8.572649510596442e-06,0.0012568948616559217,0.9997734180046106,0.9861741565217849
0.016693998366049866,0.006869697225693183,0.023905896652518736,nan,-0.0012498378217834227,-0.000334479218405459,0.99673697404123,0.9933104156318908
5.220514776330155e-05,2.8187751019016145e-08,0.00892477243214832,nan,-1.624668267552476e-05,-0.0014083808096198025,0.94957926066213,0.9845078110941822
0.0005618259104836907,1.4889570993658732e-07,0.026581090006839857,nan,0.0001941922811424801,0.0034285081058849087,0.9838321564094679,0.989224688810076
0.003095678402648403,1.3116668799851857e-07,0.038404631063747696,nan,-0.0005869026484752737,-0.002160555235041106,0.9938591047548808,0.9952467784829095
0.00042886614799162587,1.0119376166215573e-05,0.35774572834556684,nan,6.125958235148055e-05,0.00595876258723449,0.9960072722134551,0.9890756019234035
0.002139194395446724,1.4822254733773129e-05,0.3666528919250502,nan,0.003222186537109817,-0.0017562925375933514,0.9591840110615916,0.9967801303477455
0.0002907823991204639,1.0784295636022856e-06,0.13804569323834187,nan,0.00026608752528656243,0.00015068967402215305,0.9397607408031813,0.9993369654343025
0.0004007542344832474,0.005112629228661835,0.29702049631570515,nan,-0.00282949795338,-0.002755196519327485,0.9884268983292169,0.9898976127624659
0.0021018080977372256,2.3786951923638994e-05,0.30967628266399644,nan,-0.0012380580844476574,-0.003576954403169963,0.9787054009475002,0.9912563336811401
1.900368684597559e-05,8.768481774767168e-05,0.19484347315433612,nan,7.021454592970322e-06,-0.0023500808226099568,0.998090164350712,0.9926140317003687
0.0008590749274400306,8.644586886751959e-05,0.6974594822188764,nan,-0.0024010181187416324,-0.01443828211834508,0.9411995562757154,0.9813151643174358
0.00010458453762954378,9.288879846825688e-06,1.325906092087228,nan,-8.045572374770771e-05,-0.006399481314781519,0.9840661121169476,0.9912007131921754
0.0016813192647366802,0.00025843457370006395,1.2087318440581387,nan,0.001956208594329212,-0.003036561740593524,0.978675613741568,0.9964839811424706
0.002348786245862014,0.00024885468104388455,1.2570714634113447,nan,0.0008765412222996316,0.00456945191001068,0.9930355202939364,0.9947090556831455
0.0010426377454088665,8.126321975146678e-05,1.1941327633445218,nan,0.0006641453790043883,0.007614295346944355,0.9872941768646344,0.9901462060216014
4.20556365090457e-06,6.660033907901105e-05,0.841242440556752,nan,0.00025422570967748026,0.01753280646303207,0.9126099122983681,0.9517847822266619
0.005625437865301151,0.0007726375435791629,1.5265863919300044,nan,0.0003651357797390675,0.0012124628911587276,0.9987694600993419,0.998518100910806
0.0029790156655573248,0.00013971582964595063,1.162067887245687,nan,-0.0006218589517328343,-0.0009093516090160625,0.9950735849278308,0.9985710189001176
4.010568914090198e-07,0.005622480471888366,2.4382810430827044,nan,-0.01485312805323058,0.002049707505920151,0.8270812069274642,0.9977453217434878
0.0033666413735581385,0.00012110497950531843,1.4905250293768573,nan,-0.0010642711328953114,0.006014252388582775,0.9924807228899796,0.9905490319607985
2.3124220426694103e-05,0.00025658146574980507,1.0842316248770327,nan,-0.00012710629825795142,-0.0008154494702609094,0.9867733770824947,0.9980066790726956
9.701782941385394e-06,0.000139240937528913,0.8451231088853457,nan,-6.121347955917456e-05,0.0019657882180206254,0.9844997047028807,0.9963960549336288
0.0021574055897308673,0.006699993467632875,0.4864790256139648,nan,-0.005175951663410672,-0.00010604204588701704,0.9837098263857326,0.9995334149980971
0.0014499323449838535,0.006098657769801767,0.5942674765017824,nan,0.0050133815557696915,0.001219828947946977,0.9802224397341196,0.9961662518778809
1.4439103649042935e-05,0.002193327971021931,0.12795187164225788,nan,-0.002296188546805522,-0.003391848667461561,0.9714677393342842,0.9925379329315845
0.000574166745823982,5.51211498206507e-07,0.13531430685846185,nan,-0.00028492159142533974,-0.012945942357301288,0.9890396523531635,0.9810126178759581
4.700827640172675e-05,0.004411290675249973,0.09084085074533993,nan,-0.002704106769470277,0.005660249212384616,0.9847990158979528,0.9861638352586154
1.1789905929864496e-05,0.00011275447798657646,0.07602902531277675,nan,-0.00044301825208776895,0.00437904206926204,0.9177037280867464,0.9839435124127058
2.613936881024659e-05,0.005989252726377403,0.2126366701593563,nan,-0.006586796019891289,-0.009656492038530806,0.9701602297534309,0.9787557175152323
